Organisation,Postcode,Website,Facebook,Twitter
Southampton City Mission - Basics Bank,SO18 1HZ,www.southamptoncitymission.co.uk,@SouthamptonCityMission,@SCM_chirps
Southampton City Mission - Basics Bank,SO16 8HY,www.southamptoncitymission.co.uk,@SouthamptonCityMission,@SCM_chirps
Southampton City Mission - Basics Bank,SO18 1NP,www.southamptoncitymission.co.uk,@SouthamptonCityMission,@SCM_chirps
Southampton City Mission - Basics Bank,SO19 8ES,www.southamptoncitymission.co.uk,@SouthamptonCityMission,@SCM_chirps
Southampton City Mission - Basics Bank,SO14 7FE,www.southamptoncitymission.co.uk,@SouthamptonCityMission,@SCM_chirps
Southampton City Mission - Pantry,SO16 9HL,www.southamptoncitymission.co.uk,@SouthamptonCityMission,@SCM_chirps
Southampton City Mission - Pantry,SO14 1AQ,www.southamptoncitymission.co.uk,@SouthamptonCityMission,@SCM_chirps
Southampton City Mission - Pantry,SO18 2FH,www.southamptoncitymission.co.uk,@SouthamptonCityMission,@SCM_chirps
Southway Housing Trust,M20 2SN,www.southwayhousing.co.uk,www.facebook.com/southwayhousing,N/A
Spotlight Centre (Milton Keynes Food Bank),MK2 3QR,www.mkfoodbank.org.uk/,@MKFoodBank,N/A
Spring Community Hub,SE5 8LU,www.cschub.co.uk,N/A,@CSCHub161
Spring Community Hub (Foursquare Church),SE17 1RW,www.cschub.co.uk,N/A,@CSCHub161
Spring Community Hub (New Covenant Church),SE1 5BA,www.cschub.co.uk,N/A,@CSCHub161
Spring Community Hub (St Pauls Church),SE17 3QU,www.cschub.co.uk,N/A,@CSCHub161
St Aidan's Church Leeds -Food Share,LS8 5DQ,www.staidan-leeds.org.uk,N/A,N/A
St Alban's Foodbank,SE25 6RD,www.stalbansouthnorwood.weebly.com/contact.html,@albanse25,@StAlbanSE25
St Catherine's Church Centre,WF1 5HL,www.stcatherines-wakefield.org.uk,@StCaths,N/A
St Laurence's Larder & Open Kitchen,NW6 7BJ,www.laurenceslarder.org.uk,N/A,@StLaurencesNW6
St Luke's,LS11 8PD,www.stlukesholbeck.org.uk/,N/A,N/A
St Martin's Food Share,HR2 7RJ,N/A,@StMartinsFoodShare,N/A
St Martins Foodbank,SY11 3AY,N/A,@stmartinsfoodbank,N/A
St Mary's / St Andrews Food Project,LS16 5HB,N/A,www.facebook.com/groups/1359822894395434,N/A
St Mary's / St Andrews Food Project,LS5 3PN,N/A,www.facebook.com/mylocalfoodbank,N/A
St Michael's Church Food Bank,B18 5LB,N/A,www.facebook.com/SaintMfoodbank/,N/A
St Paul's Pantry,CW1 3BY,www.stpaulscentre.org.uk/,@stpaulscentre,N/A
St. Mark's Meals,MK16 0EA,www.stmarksmk.com,@stmarksmk,@stmarksmk
St. Mary's Church (Tenbury Foodbank),WR15 8BP,N/A,N/A,N/A
St. Mary's Church and Community Food Bank,M34 7GD,www.stmaryshg.org.uk/food-bank,N/A,N/A
Stannington Foodbank,S6 5HZ,N/A,www.facebook.com/people/Stannington-Foodbank/100070457927079/,N/A
STAR Project,PA3 2BU,www.star-project.org.uk,N/A,N/A
Start Up Stirling,FK7 7SP,www.startupstirling.org.uk/,N/A,N/A
Start Up Stirling,FK7 9AY,www.startupstirling.org.uk/,N/A,N/A
Start Up Stirling,FK21 8TP,www.startupstirling.org.uk/,N/A,N/A
Start Up Stirling,FK17 8BN,www.startupstirling.org.uk/,N/A,N/A
STEP (South Tyrone Empowerment Programme),BT70 1BS,N/A,N/A,N/A
Stone Community Hub Limited,ST15 8NA,www.stonecommunityhub.org,Stone Community Hub,@stonecommhub
Storehouse Foodbank at West Suffolk Vineyard Church,IP32 6NL,www.wsvc.org.uk,N/A,N/A
"Storehouse Foodbank, Stour Valley Vineyard Church",CO10 1NP,www.stourvalleyvineyard.org/storehouse,N/A,N/A
Storehouse North Down Foodbank,BT19 7QT,www.storehousenorthdown.com,N/A,N/A
Storehouse St. Andrews Foodbank,KY16 8BP,www.storehousestandrews.com,@storehousestandrews,@StorehouseStA
Streetskitchen,N7 6AA,www.streetskitchen.org,@StreetsKitchenOfficial,N/A
Sufra NW London,NW10 0PW,www.sufra-nwlondon.org.uk,N/A,@SufraNWLondon
Sufra NW London - Pakistan Community Centre,NW2 4PU,www.sufra-nwlondon.org.uk,N/A,@SufraNWLondon
Sunnah Healthcare,S4 8LJ,www.sunnahhealthcare.co.uk,www.facebook.com/pages/Sunnah-Health-Care/618689161535617,N/A
Sunnyside Supplies,S66 3RL,www.sunnysidesupplies.co.uk,www.facebook.com/SunnysideSupplies,N/A
Surviving the Streets UK,BN21 3NJ,www.survivingthestreets.uk,N/A,@survivinguk
Surviving the Streets UK,TN34 1ET,www.survivingthestreets.uk,N/A,@survivinguk
Sutton Bridge Community Larder,PE12 9UN,N/A,@StMatthewsSuttonBridge,N/A
Sutton Coldfield Baptist Church,B72 1TA,www.scbc.org.uk,N/A,N/A
Sutton Coldfield Baptist Church,B72 1TA,www.scbc.org.uk,N/A,N/A
Sutton Community Food Project,WA9 4RB,N/A,N/A,N/A
Swansea Eastside Foodbank,SA1 7JR,N/A,www.facebook.com/groups/1483050495316450/,N/A
Swindon Food Collective,SN6 7AA,www.swindonfoodcollective.org,@swindonfoodcollective,N/A
Swindon Food Collective,SN4 7BQ,www.swindonfoodcollective.org,@swindonfoodcollective,N/A
Swindon Food Collective,SN2 5DU,www.swindonfoodcollective.org,@swindonfoodcollective,N/A
Swindon Food Collective,SN5 8NU,www.swindonfoodcollective.org,@swindonfoodcollective,N/A
Swindon Food Collective,SN1 1QS,www.swindonfoodcollective.org,@swindonfoodcollective,N/A
Swindon Food Collective,SN25 4XY,www.swindonfoodcollective.org,@swindonfoodcollective,N/A
Swindon Food Collective,SN3 6HP,www.swindonfoodcollective.org,@swindonfoodcollective,N/A
Swindon Food Collective,SN15 4PR,www.swindonfoodcollective.org,@swindonfoodcollective,N/A
Swindon Food Collective,SN3 2LG,www.swindonfoodcollective.org,@swindonfoodcollective,N/A
Swindon Food Collective,SN2 1QR,www.swindonfoodcollective.org,@swindonfoodcollective,N/A
Tara Martins Community Project,ME4 4BY,www.taramartinscommunityproject.org/,@taramartinscommunityproject,N/A
Tay Bridgehead Foodbank,DD6 8LQ,N/A,N/A,N/A
Teign Valley Larder CIC (Ashton),EX6 7QR,www.teignvalley.org/larder/,N/A,N/A
Teign Valley Larder CIC (Bridford),EX6 7HT,www.teignvalley.org/larder/,N/A,N/A
Teign Valley Larder CIC (Christow),EX6 7LZ,www.teignvalley.org/larder/,N/A,N/A
Teign Valley Larder CIC (Doddiscombsleigh),EX6 7PS,www.teignvalley.org/larder/,N/A,N/A
Teign Valley Larder CIC (Dunsford),EX6 7DA,www.teignvalley.org/larder/,N/A,N/A
Telford Crisis Support,TF7 4QP,www.telfordcrisissupport.org.uk,@TelfordSupport,@TelfordSupport
The Bay Food Bank,NE29 6BA,www.thebayfoodbank.org.uk/,@thebayfoodbank,@TheBAYFoodbank
The Besom in Camberley,GU15 2SR,www.thebesomincamberley.com,@besomcamberley,N/A
The Breaking Bread Trust,HA1 2TB,www.breakingbreadtrust.org,N/A,@tbbtcharity
The Bus Shelter Ipswich CIC,IP2 8LR,N/A,@thebussheltershop,N/A
The Centre Ferndown (Distributor for Wimborne Food Bank+),BH22 8XH,www.thecentreferndown.co.uk,https://www.facebook.com/pages/category/Community-Organization/The-Centre-Ferndown-308451436662319/,N/A
The Community Cupboard,TN15 6EL,N/A,N/A,N/A
The Community Emergency Food Bank (CEF),OX3 7JF,www.cefoxford.co.uk,N/A,N/A
The Community Emergency Food Bank (CEF),OX4 4QB,www.cefoxford.co.uk,N/A,N/A
The Community Emergency Food Bank (CEF),OX3 9LS,www.cefoxford.co.uk,N/A,N/A
The Dandelion Community - part of United Reformed Church,M22 1AH,www.dandelioncommunity.weebly.com/,@TheDandelionCommunity,N/A
The Easter Team,RH10 1FP,www.theeasterteam.org,N/A,N/A
The Food Pantry,IP26 4AA,N/A,www.facebook.com/The-Food-Pantry-103311221603276/,N/A
The Gate Charity Foodbank,FK10 2DR,www.the-gate-charity.org/,www.facebook.com/The-Gate-Charity-519395391491990,N/A
The Gospel Centre ( Food bank),N8 0LT,www.gospelcentre.co.uk/get-involved.html,N/A,N/A
The Gospel Church of Jesus Christ,WC1B 3PP,www.gcjc.co.uk,www.facebook.com/people/The-Gospel-Church-of-Jesus-Christ/100079879129482/,N/A
The Hill Community Development Trust,SA1 6PH,N/A,N/A,N/A
The Hive Food Bank,N19 3AD,www.thehivefoodbank.com/,N/A,N/A
The Hulme Community Pantry Limited,M15 5ED,N/A,N/A,N/A
The King's Storehouse (Wellspring Church Charity No 1062914),LL18 2PD,www.kingsstorehouse.org.uk/,@TheKingsStorehouseFoodbank,@KingsStorehouse
The Lalley Centre (Caritas Diocese of Salford),M40 7RG,www.caritassalford.org.uk,N/A,N/A
The Larder,EH54 9BJ,www.thelarder.org,@LarderTraining,@LarderTraining
The Larder,EH54 6TQ,www.thelarder.org,@LarderTraining,@LarderTraining
The Larder,EH52 5LH,www.thelarder.org,@LarderTraining,@LarderTraining
The Life House,B29 6PB,www.thelifehouse.net,N/A,N/A
The Magic Wishing Well,WF15 8HG,www.themagicwishingwell.org.uk,N/A,@themagicwishingwell
The Marketplace running out of Sidley Baptist church,TN39 5BX,N/A,N/A,N/A
The Moses Poject,TS18 2AP,www.themosesproject.co.uk,N/A,@TProject1
The Olive Branch (Faith in Action),LA1 5DB,www.the-olivebranch.org.uk,N/A,N/A
The Orchard,L19 8JZ,N/A,@orchardliverpool,N/A
The Pantry at Tintagel Social Hall,PL34 0AB,N/A,@TintagelPantry,N/A
"The Pantry, Bardney and surrounding villages - local community foodbank",LN3 5TZ,N/A,N/A,N/A
The Pantry@Sandbach Hub,CW11 1DG,N/A,N/A,N/A
The Parish Trust,CF83 8FL,www.theparishtrust.org.uk,@TheParishTrust,@TheParishTrust
The People's Army (collection only),N7 6AA,www.thepeoplesarmyfoodbank.wordpress.com,@thepeoplesarmyldn,@peoplesarmyldn
The People's Army (warm space + collection),N5 1SA,www.thepeoplesarmyfoodbank.wordpress.com,@thepeoplesarmyldn,@peoplesarmyldn
The People's Pantry,G42 7BX,www.govanhillbaths.com/pantry/,@GovanhillPeoplesPantry,N/A
The Peoples Pantry NE,NE38 8AQ,N/A,@thepeoplespantryNE,N/A
The Pop Up Soup Kitchen,PO30 1BA,N/A,N/A,N/A
The Power Movement Organisation,E1 5DD,www.poweruk.org,N/A,@ThePowerMoveme1
The Raft Foundation,BB4 6HR,www.raftfoundation.org,@the.raft.foundation,@raftfoundation
The River Manchester,M11 1JG,www.therivermanchester.org.uk/,N/A,N/A
The Sapphire Foundation,E1 6LS,www.sapphirecommunitygroup.org,N/A,N/A
The Selby Trust,N17 8JL,www.selbytrust.co.uk,N/A,@SelbyCentre
The SPACE,W10 6TT,www.214space.org,www.facebook.com/The-Food-Pantry-103311221603276/,@214space
The Vestry St Lukes Food Bank Club,SW3 6NH,N/A,www.facebook.com/vestrycommunitybank,N/A
The Vineyard Care Centre,AL1 5UG,www.thevineyardchurch.co.uk/compassion,N/A,N/A
The Welcome Centre,HD1 1QA,www.thewelcomecentre.org/,@TheWelcomeCentreHudds,N/A
The Well,NR31 9RE,www.gorlestonbaptist.org.uk/drop-in-centre,N/A,N/A
The Wiggly Worm,GL51 0LG,www.thewigglyworm.org.uk,@wigglycharity,N/A
The5es Development,E16 3PJ,www.the5es.org,N/A,@The5es4
The5es Development,E6 5YA,www.the5es.org,N/A,@The5es4
Thornaby Food Bank,TS17 8DH,N/A,@thornabyfoodbank,N/A
Thorne and Moorends Community Hub and Food Bank,DN8 4EZ,N/A,N/A,N/A
"Thorney, Eye and Surrounding Areas Food Bank",PE6 0QB,N/A,www.facebook.com/groups/1034578193675719/?mibextid=HsNCOg,N/A
TOOTING COMMUNITY KITCHEN,SW17 7EN,www.tootingcommunitykitchen.co.uk/,www.facebook.com/Tootcomkitche,N/A
Touch of Love Outreach,AB11 9LA,www.touchoflove.org.uk,https://www.facebook.com/groups/290242691951828,N/A
Transformation CPR,TR14 7RH,www.transformationcpr.org/,@TransCPR,@TransCPR
Transformation CPR,TR15 2FJ,www.transformationcpr.org/,@TransCPR,@TransCPR
Transformation CPR,TR14 8HW,www.transformationcpr.org/,@TransCPR,@TransCPR
Trinity Foodbank,M26 3WD,N/A,N/A,N/A
Trust House Whitefield,BL9 9AU,www.trusthousewhitefield.org,@trusthousewhitefield.org,N/A
Uist & Barra Foodbank,HS7 5LA,N/A,@Uistandbarrafoodbank,N/A
Uist & Barra Foodbank,HS9 5XY,N/A,@Uistandbarrafoodbank,N/A
Uist & Barra Foodbank,HS9 5XY,N/A,@Uistandbarrafoodbank,N/A
Uist & Barra Foodbank,HS7 5LA,N/A,@Uistandbarrafoodbank,N/A
Unity Grill CIC,KA7 1BG,N/A,@unitygrill,N/A
Unity Park (Milton Keynes Food Bank),MK9 1LR,www.mkfoodbank.org.uk/,@MKFoodBank,N/A
Unity World Cafe & foodbank,G5 8JD,N/A,www.facebook.com/groups/552234498254241/,N/A
Ventnor Community Foodbank,PO38 1SX,www.facebook.com/people/Ventnor-Community-Foodbank/100068020155033/,N/A,N/A
Victoria Park Baptist Church,BS3 5DA,www.victoriapark.org.uk,N/A,N/A
Vital Meals,SW11 5GX,www.vitalmeals.org,N/A,@tplattery
VOICE,BB1 1EZ,www.communitycvs.org.uk,www.facebook.com/Community-CVS-201094796657824/,N/A
Wai Yin Society,M4 5JU,www.waiyin.org.uk,@waiyinsociety,N/A
Wansbeck Valley Food Bank,NE63 8HZ,N/A,N/A,N/A
Wansbeck Valley Food Bank,NE61 6PU,N/A,N/A,N/A
Wansbeck Valley Food Bank,NE61 3EY,N/A,N/A,N/A
Wansbeck Valley Food Bank,NE61 3BP,www.wansbeckvalleyfoodbank.org,@Wansbeckvalleyfoodbank,N/A
Warming Up The Homeless,BN21 3PE,N/A,N/A,N/A
Warming Up The Homeless,TN34 3JJ,N/A,N/A,N/A
Warming Up The Homeless,TN33 0AE,N/A,N/A,N/A
Warming Up The Homeless,TN40 1DY,N/A,N/A,N/A
Warming Up The Homeless,TN40 1AX,N/A,N/A,N/A
Warming Up The Homeless,TN39 3EN,N/A,N/A,N/A
Washington Community Food Project,NE38 7SD,http://wcfp.org.uk/,@washingtoncfp,@Washington Community Food Project
Washington Community Food Project,NE38 8HZ,http://wcfp.org.uk/,@washingtoncfp,@Washington Community Food Project
Washington Community Food Project,NE38 0LA,http://wcfp.org.uk/,@washingtoncfp,@Washington Community Food Project
Washington Community Food Project,NE38 9AH,http://wcfp.org.uk/,@washingtoncfp,@Washington Community Food Project
Waste Not Want Not Battersea,SW11 2NT,N/A,@WasteNotWantNotProject,@WasteNotProject
Wells Vineyard Foodbank,BA5 1DA,www.wellsvineyard.com,@wellsstorehousefoodbank,N/A
Wem Food Bank,SY13 1LB,N/A,@WemFoodBank,N/A
West Dunbartonshire Community Foodshare,G82 5BN,www.westdunbartonshirecommunityfoodshare.co.uk,N/A,@WDCommFoodshare
West End Impact,LA3 1DG,www.westendimpact.org.uk,@WestEndImpact410,@WestEndImpact
West Hampstead Community Food Hub,NW6 2BA,www.westhampsteadcommunityfoodhub.org,N/A,@w_hub
West Northumberland Food Bank,NE46 3HN,www.westnorthumberlandfoodbank.org.uk,N/A,N/A
Whaley Bridge Food Bank,SK23 7LS,www.whaleybridgecanal.org,@WhaleyFoodBank,N/A
Whitefoot and Downham Community Food + Project,BR1 5SF,www.wdcfplus.org.uk/,N/A,@wdcfplus
Winchester Basics Bank,SO22 6EF,www.winchesterbasicsbank.co.uk,@winchesterbasicsbank,N/A
Winchester Basics Bank,SO24 9HD,www.winchesterbasicsbank.co.uk,@winchesterbasicsbank,N/A
Winchester Basics Bank,SO23 9NR,www.winchesterbasicsbank.co.uk,@winchesterbasicsbank,N/A
Winchester Basics Bank,SO23 0PZ,www.winchesterbasicsbank.co.uk,@winchesterbasicsbank,N/A
Woodgrange Baptist Church,E7 8AA,www.woodgrangebaptist.org.uk,N/A,N/A
Worthing Food Foundation (Formerly East Worthing Food Bank & now part of Les Alden Foundation),BN11 2NA,www.worthingfoodfoundation.org.uk,@WorthingFoodFoundation,@worthingfoodfdn
Worthing Vegan Food Bank,BN11 4BL,www.worthingveganfoodbank.co.uk,@WorthingVeganFoodBank,@VeganFoodBank
Wycombe Food Hub,HP13 5ES,www.wycombefoodhub.org,@wycombefoodhub,@wycombefoodhub
Wyre Forest Food Bank,DY11 5QA,N/A,@franchecommunitychurch,N/A
Wythenshawe Food Poverty Group,M23 0PH,www.st-matthews.org.uk/food-bank/,N/A,@bethnalfoodbank
Yaxley Foodbank,PE7 3LH,www.saintpeters.co.uk,N/A,N/A
Youth Aid Council,SE26 4QD,www.youthaidcouncil.org,N/A,N/A
Youth Aid Council,SE27 9JW,www.youthaidcouncil.org,N/A,N/A
Ystradgynlais Foodbank,SA9 1AF,www.ystradgynlaisvc.org.uk,@ystradgynlaisfoodbank,N/A
